BookRestaurant,GetWeather,PlayMusic	BookRestaurant,GetWeather,PlayMusic
O	O	
O	O	
O	O	
O	O	
O	O	
O	O	
B-restaurant_type	B-sort	
O	I-sort	
B-restaurant_type	B-restaurant_type	
O	O	
B-restaurant_type	B-cuisine	
O	B-spatial_relation	
B-restaurant_type	B-state	
I-party_size_description	B-timeRange	
I-party_size_description	I-timeRange	
I-party_size_description	O	
I-party_size_description	O	
I-party_size_description	O	
I-party_size_description	O	
I-party_size_description	O	
I-party_size_description	O	
I-party_size_description	B-timeRange	
I-party_size_description	I-timeRange	
I-party_size_description	I-timeRange	
I-party_size_description	O	
I-party_size_description	B-city	
I-party_size_description	I-city	
I-party_size_description	O	
I-party_size_description	B-condition_temperature	
I-party_size_description	O	
I-party_size_description	O	
I-party_size_description	O	
O	O	
O	O	
O	O	
B-artist	B-sort	
I-artist	B-music_item	
O	O	
B-artist	B-artist	
I-artist	I-artist	
O	O	
B-artist	B-service	
I-artist	I-service	


AddToPlaylist,BookRestaurant,SearchScreeningEvent	AddToPlaylist,BookRestaurant,SearchScreeningEvent
O	O	
O	O	
B-music_item	B-artist	
B-music_item	I-artist	
O	O	
B-playlist_owner	B-playlist_owner	
O	O	
B-playlist	B-playlist	
I-playlist	I-playlist	
I-playlist	I-playlist	
O	O	
O	O	
O	O	
O	O	
O	O	
O	O	
B-restaurant_type	B-party_size_number	
O	O	
O	O	
B-restaurant_type	B-sort	
I-party_size_description	B-restaurant_type	
I-party_size_description	B-timeRange	
I-party_size_description	I-timeRange	
I-party_size_description	I-timeRange	
I-party_size_description	I-timeRange	
I-party_size_description	O	
I-party_size_description	B-city	
I-party_size_description	O	
O	O	
O	O	
O	O	
O	O	
O	O	
B-object_type	B-object_type	
I-object_type	I-object_type	
O	O	
B-location_name	B-location_name	
I-location_name	I-location_name	


AddToPlaylist,BookRestaurant,GetWeather	AddToPlaylist,GetWeather,RateBook
O	O	
O	O	
B-music_item	B-music_item	
O	O	
B-playlist	O	
I-playlist	B-playlist	
I-playlist	I-playlist	
I-playlist	I-playlist	
O	O	
O	O	
O	O	
O	O	
O	O	
O	O	
O	O	
B-restaurant_type	B-country	
O	B-timeRange	
B-party_size_number	I-timeRange	
O	I-timeRange	
O	O	
O	O	
O	O	
B-party_size_number	B-condition_temperature	
O	O	
O	O	
O	B-object_type	
B-object_type	B-object_name	
O	I-object_name	
O	I-object_name	
O	O	
O	O	
B-object_type	B-rating_value	
B-rating_value	B-rating_unit	
O	O	
B-city	O	
B-city	O	


AddToPlaylist,PlayMusic,SearchCreativeWork	AddToPlaylist,PlayMusic,SearchCreativeWork
O	O	
O	O	
O	O	
O	O	
O	O	
O	O	
O	O	
B-music_item	O	
I-entity_name	B-music_item	
O	O	
B-playlist	B-playlist_owner	
I-playlist	B-playlist	
I-playlist	I-playlist	
O	O	
O	O	
O	O	
O	O	
B-artist	B-sort	
I-artist	B-music_item	
O	O	
B-artist	B-artist	
I-artist	I-artist	
O	O	
B-artist	B-service	
I-artist	I-service	
O	O	
O	O	
O	O	
O	O	
B-object_type	B-object_type	
I-object_type	I-object_type	
O	O	
B-object_name	B-object_name	
I-object_name	I-object_name	
I-object_name	I-object_name	
I-object_name	I-object_name	


BookRestaurant,RateBook,SearchCreativeWork	BookRestaurant,RateBook
O	O	
O	O	
O	O	
B-restaurant_type	O	
O	O	
B-restaurant_type	B-restaurant_name	
O	I-restaurant_name	
O	O	
B-restaurant_type	B-party_size_description	
I-party_size_description	I-party_size_description	
I-party_size_description	I-party_size_description	
I-party_size_description	I-party_size_description	
I-party_size_description	I-party_size_description	
O	O	
B-restaurant_type	B-timeRange	
I-timeRange	I-timeRange	
O	O	
O	O	
O	O	
O	O	
B-object_select	B-object_name	
B-object_type	I-object_name	
O	I-object_name	
O	I-object_name	
O	O	
O	O	
O	O	
O	O	
B-best_rating	B-best_rating	
O	O	
O	O	
B-object_name	O	
I-object_name	O	
I-object_name	B-rating_value	


AddToPlaylist,GetWeather,SearchScreeningEvent	AddToPlaylist,GetWeather,SearchScreeningEvent
O	O	
B-artist	B-entity_name	
I-artist	I-entity_name	
I-artist	I-entity_name	
I-artist	I-entity_name	
O	O	
B-playlist_owner	B-playlist_owner	
B-playlist	B-playlist	
I-playlist	I-playlist	
O	O	
O	O	
O	O	
O	O	
O	O	
O	O	
O	O	
O	O	
B-city	B-city	
I-city	I-city	
I-city	B-country	
O	O	
B-city	B-timeRange	
I-city	I-timeRange	
I-city	I-timeRange	
O	O	
O	O	
O	O	
B-object_type	B-movie_type	
I-object_type	O	
O	O	
O	B-spatial_relation	
B-spatial_relation	I-spatial_relation	
I-spatial_relation	I-spatial_relation	


AddToPlaylist,BookRestaurant	AddToPlaylist,BookRestaurant,GetWeather
O	O	
O	O	
O	O	
O	O	
O	O	
B-music_item	B-entity_name	
I-entity_name	O	
I-entity_name	B-playlist	
O	I-playlist	
B-playlist	I-playlist	
I-playlist	I-playlist	
I-playlist	I-playlist	
I-playlist	I-playlist	
O	O	
O	O	
O	O	
B-restaurant_type	B-restaurant_type	
O	O	
B-restaurant_type	B-country	
O	O	
B-party_size_number	B-party_size_number	
I-timeRange	O	
O	O	
O	O	
O	O	
O	O	
O	O	
B-object_type	B-city	
O	O	
O	O	
B-city	B-state	


BookRestaurant,SearchCreativeWork,SearchScreeningEvent	BookRestaurant,SearchScreeningEvent
O	B-timeRange	
O	I-timeRange	
O	I-timeRange	
O	I-timeRange	
O	B-party_size_description	
O	I-party_size_description	
O	I-party_size_description	
O	I-party_size_description	
O	I-party_size_description	
O	O	
O	O	
O	O	
O	B-cuisine	
O	O	
O	O	
O	O	
B-restaurant_type	B-restaurant_type	
O	O	
B-party_size_number	B-spatial_relation	
O	B-state	
O	O	
O	O	
O	O	
O	O	
O	O	
B-object_type	B-object_type	
I-object_type	O	
B-object_type	B-movie_type	
O	B-spatial_relation	
B-object_name	I-spatial_relation	
I-object_name	I-spatial_relation	


GetWeather,RateBook,SearchScreeningEvent	GetWeather,RateBook,SearchScreeningEvent
O	O	
O	O	
O	O	
O	O	
O	O	
O	O	
B-city	B-timeRange	
I-city	I-timeRange	
O	O	
O	O	
B-city	O	
I-city	B-spatial_relation	
I-geographic_poi	B-geographic_poi	
I-geographic_poi	I-geographic_poi	
I-geographic_poi	I-geographic_poi	
I-geographic_poi	I-geographic_poi	
I-geographic_poi	I-geographic_poi	
O	O	
O	O	
B-object_select	B-object_select	
B-object_type	B-object_type	
B-rating_value	B-rating_value	
B-rating_unit	B-rating_unit	
O	O	
O	O	
B-object_type	B-movie_type	
O	O	
B-object_type	B-spatial_relation	
I-object_type	I-spatial_relation	


AddToPlaylist,GetWeather	AddToPlaylist,GetWeather
O	O	
B-playlist_owner	B-playlist_owner	
O	O	
B-playlist_owner	B-playlist	
O	O	
B-playlist	O	
I-playlist	O	
